"index","Familie","Gattung","Art","D_2__Anaerolineae","D_2__Bacilli","D_2__Bacteroidia","D_2__Clostridia","D_2__Coriobacteriia","D_2__Deltaproteobacteria","D_2__Erysipelotrichia","D_2__Fibrobacteria","D_2__Gammaproteobacteria","D_2__Methanobacteria","D_2__Methanomicrobia","D_2__Negativicutes","D_2__Saccharimonadia","D_2__Spirochaetia","D_2__Synergistia","D_2__Verrucomicrobiae","D_2__Actinobacteria","D_2__Fusobacteriia","D_2__Campylobacteria","D_2__Mollicutes","D_2__Planctomycetacia","D_2__Thermoplasmata","D_2__Burkholderiales bacterium Beta_02","D_2__Elusimicrobia","D_2__Endomicrobia","D_2__Alphaproteobacteria","D_2__Chloroflexia","D_2__Oxyphotobacteria","D_2__Melainabacteria","D_2__Lentisphaeria","D_2__Metamonada","D_2__Leptospirae","D_2__Deferribacteres","D_2__Blastocatellia","D_2__Nucletmycea","D_2__Oligosphaeria"
"BE0503ZEBR5","Equidae","Equus","Bergzebra",38,40,1948,7142,47,20,48,81,177,302,120,184,64,1840,74,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403PAND","Ailuridae","Ailurus","Roter_Panda",0,11707,46,1981,0,0,2558,0,3005,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403WALD","Canidae","Speothos","Waldhund",0,2638,628,11870,0,0,528,0,1305,0,0,0,0,0,0,0,75,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR1","Equidae","Equus","Bergzebra",0,0,1472,1473,0,0,16,455,0,0,34,219,0,1326,0,191,0,0,79,18,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR2","Equidae","Equus","Bergzebra",0,29,2089,2462,0,0,10,330,0,83,34,167,0,1590,0,127,0,0,33,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR3","Equidae","Equus","Bergzebra",0,140,1539,2273,0,0,0,781,0,115,40,178,0,860,0,263,0,0,20,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR4","Equidae","Equus","Bergzebra",0,0,1551,1742,0,0,24,769,0,47,122,161,0,1356,72,57,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR5","Equidae","Equus","Bergzebra",0,0,2474,3548,0,0,0,429,21,206,175,179,0,2442,129,378,0,0,203,0,15,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR6","Equidae","Equus","Bergzebra",0,0,778,368,0,0,0,45,0,0,92,20,0,982,20,49,0,0,118,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR7","Equidae","Equus","Bergzebra",0,493,4787,5041,0,10,108,1088,0,23,155,482,0,4167,94,281,0,0,150,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR8","Equidae","Equus","Bergzebra",0,0,6588,7238,0,0,335,303,49,745,456,295,188,2209,310,652,0,0,196,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR1","Equidae","Equus","Bergzebra",0,205,2695,10005,0,0,117,65,0,241,237,62,0,4928,312,829,0,0,17,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR2","Equidae","Equus","Bergzebra",0,42,2782,12075,176,0,291,63,0,752,435,125,70,2550,29,1196,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR3","Equidae","Equus","Bergzebra",0,119,1720,6066,0,0,141,0,0,349,248,12,30,2084,70,1537,0,0,25,0,35,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR4","Equidae","Equus","Bergzebra",0,112,1501,5984,0,0,0,193,25,379,178,30,66,2137,92,879,0,0,240,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR6","Equidae","Equus","Bergzebra",0,0,840,1212,0,0,0,486,0,38,0,199,0,1027,0,74,0,0,30,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR7","Equidae","Equus","Bergzebra",0,19,3097,4595,90,0,184,386,32,1559,231,36,91,1236,51,691,0,0,18,261,70,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR8","Equidae","Equus","Bergzebra",0,207,4442,4283,0,0,37,2014,0,145,129,546,91,2459,0,86,0,0,112,25,0,18,0,0,25,0,0,0,0,0,0,0,0,0,0,0
"BER0603ZEBR1","Equidae","Equus","Bergzebra",0,0,599,671,0,0,0,281,0,29,54,40,0,561,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0603ZEBR2","Equidae","Equus","Bergzebra",0,482,1418,2613,0,0,0,213,0,140,93,14,45,719,46,467,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0603ZEBR3","Equidae","Equus","Bergzebra",0,0,1214,1113,0,12,0,335,0,26,0,166,0,1417,20,195,0,0,95,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0603ZEBR4","Equidae","Equus","Bergzebra",0,12,6948,6081,0,0,69,1469,0,499,530,345,20,3111,111,432,0,0,176,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
