"index","Familie","Gattung","Art","D_0__Archaea","D_0__Bacteria","D_0__Eukaryota"
"BE0503ZEBR5","Equidae","Equus","Bergzebra",422,12210,0
"BER0403PAND","Ailuridae","Ailurus","Roter_Panda",0,19439,0
"BER0403WALD","Canidae","Speothos","Waldhund",0,17137,0
"BER0403ZEBR1","Equidae","Equus","Bergzebra",56,5261,0
"BER0403ZEBR2","Equidae","Equus","Bergzebra",117,6858,0
"BER0403ZEBR3","Equidae","Equus","Bergzebra",155,6065,0
"BER0403ZEBR4","Equidae","Equus","Bergzebra",169,5789,0
"BER0403ZEBR5","Equidae","Equus","Bergzebra",402,9818,0
"BER0403ZEBR6","Equidae","Equus","Bergzebra",115,2380,0
"BER0403ZEBR7","Equidae","Equus","Bergzebra",220,16701,0
"BER0403ZEBR8","Equidae","Equus","Bergzebra",1228,18363,0
"BER0503ZEBR1","Equidae","Equus","Bergzebra",478,19263,0
"BER0503ZEBR2","Equidae","Equus","Bergzebra",1187,19421,0
"BER0503ZEBR3","Equidae","Equus","Bergzebra",597,11863,0
"BER0503ZEBR4","Equidae","Equus","Bergzebra",557,11299,0
"BER0503ZEBR6","Equidae","Equus","Bergzebra",38,3879,0
"BER0503ZEBR7","Equidae","Equus","Bergzebra",1865,10857,0
"BER0503ZEBR8","Equidae","Equus","Bergzebra",292,14327,0
"BER0603ZEBR1","Equidae","Equus","Bergzebra",83,2191,0
"BER0603ZEBR2","Equidae","Equus","Bergzebra",233,6028,0
"BER0603ZEBR3","Equidae","Equus","Bergzebra",38,4567,0
"BER0603ZEBR4","Equidae","Equus","Bergzebra",1062,18774,0
"BER0603ZEBR5","Equidae","Equus","Bergzebra",51,3511,0
"BER0603ZEBR6","Equidae","Equus","Bergzebra",60,9592,0
"BER0603ZEBR7","Equidae","Equus","Bergzebra",290,9765,0
"BER0603ZEBR8","Equidae","Equus","Bergzebra",155,12419,0
"BER0805GEPA1","Felidae","Acinonyx","Gepard",0,14609,0
"BER0805GEPA2","Felidae","Acinonyx","Gepard",0,52955,0
"BER0805LOEF1","Canidae","Otocyon","Loeffelhund",0,7263,0
"BER0805LOEF2","Canidae","Otocyon","Loeffelhund",0,6850,0
"BER0805MAEH1","Canidae","Chrysocyon","Maehnenwolf",0,11351,0
"BER0805MAEH2","Canidae","Chrysocyon","Maehnenwolf",307,15671,0
"BER0805NEBE1","Felidae","Panthera","Nebelparder",0,10494,0
"BER0805PAND1","Ailuridae","Ailurus","Roter_Panda",0,16213,0
"BER0805PAND2","Ailuridae","Ailurus","Roter_Panda",0,11848,0
"BER0805SEEL1","Felidae","Panthera","Schneeleopard",0,13266,0
"BER0805SEEL2","Felidae","Panthera","Schneeleopard",0,22417,0
"BER0805TIGA1","Felidae","Panthera","Tiger",0,8998,0
"BER0805TIGA2","Felidae","Panthera","Tiger",0,10742,0
"BER0805TIGA3","Felidae","Panthera","Tiger",0,14253,0
"BER0805TIGA4","Felidae","Panthera","Tiger",0,8601,0
"BER0805TIGA5","Felidae","Panthera","Tiger",0,8000,0
"BER0805TIGA6","Felidae","Panthera","Tiger",0,17432,0
"BER0805WALD1","Canidae","Speothos","Waldhund",0,7558,0
"BER0805WALD2","Canidae","Speothos","Waldhund",0,11126,0
"BER0805WALD3","Canidae","Speothos","Waldhund",0,14957,0
"BER0905TIGA7","Felidae","Panthera","Tiger",0,6797,0
"BER0905TIGA8","Felidae","Panthera","Tiger",0,8807,0
"BER0905TIGA9","Felidae","Panthera","Tiger",0,13611,0
"BER0905WALD10","Canidae","Speothos","Waldhund",0,4200,0
"BER0905WALD4","Canidae","Speothos","Waldhund",0,8027,0
"BER0905WALD5","Canidae","Speothos","Waldhund",0,9207,0
"BER0905WALD6","Canidae","Speothos","Waldhund",0,14135,0
"BER0905WALD7","Canidae","Speothos","Waldhund",0,3711,0
"BER0905WALD8","Canidae","Speothos","Waldhund",0,5376,0
"BER0905WALD9","Canidae","Speothos","Waldhund",192,17542,0
"BER1505GEPA2","Felidae","Acinonyx","Gepard",0,28049,0
"BER1505LEOP1","Felidae","Panthera","Leopard",0,9716,0
"BER1505LEOP2","Felidae","Panthera","Leopard",0,11053,0
"BER1505LEOP3","Felidae","Panthera","Leopard",0,14796,0
"BER1505LEOP4","Felidae","Panthera","Leopard",0,14507,0
"BER1505LOEF3","Canidae","Otocyon","Loeffelhund",0,10099,0
"BER1505PAND3","Ailuridae","Ailurus","Roter_Panda",0,14278,0
"BER1505PAND4","Ailuridae","Ailurus","Roter_Panda",0,8039,0
"BER1505SEEL3","Felidae","Panthera","Schneeleopard",0,10119,0
"BEZ0603ELEN1","Bovidae","Tragelaphus","Elenantilope",971,9961,0
"BEZ0603ELEN2","Bovidae","Tragelaphus","Elenantilope",694,4894,0
"BEZ0603ELEN3","Bovidae","Tragelaphus","Elenantilope",141,3288,0
"BEZ0603ELEN4","Bovidae","Tragelaphus","Elenantilope",207,1402,0
"BEZ0603ELEN5","Bovidae","Tragelaphus","Elenantilope",693,5174,0
"BEZ0603GIRA1","Giraffidae","Giraffa","Giraffe",813,8982,0
"BEZ0603GIRA2","Giraffidae","Giraffa","Giraffe",390,6056,0
"BEZ0603NASH1","Rhinocerotidae","Diceros","Spitzmaulnashorn",209,2200,0
