"index","Familie","Gattung","Art","D_1__Actinobacteria","D_1__Bacteroidetes","D_1__Chloroflexi","D_1__Euryarchaeota","D_1__Fibrobacteres","D_1__Firmicutes","D_1__Patescibacteria","D_1__Proteobacteria","D_1__Spirochaetes","D_1__Synergistetes","D_1__Verrucomicrobia","D_1__Fusobacteria","D_1__Epsilonbacteraeota","D_1__Planctomycetes","D_1__Tenericutes","D_1__WPS-2","D_1__Elusimicrobia","D_1__Cyanobacteria","D_1__Lentisphaerae","D_1__Excavata","D_1__Deferribacteres","D_1__Acidobacteria","D_1__Opisthokonta"
"BE0503ZEBR5","Equidae","Equus","Bergzebra",47,1948,38,422,81,7414,64,197,1840,74,507,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403PAND","Ailuridae","Ailurus","Roter_Panda",142,46,0,0,0,16246,0,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403WALD","Canidae","Speothos","Waldhund",75,628,0,0,0,15036,0,1305,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR1","Equidae","Equus","Bergzebra",0,1472,0,56,455,1708,0,0,1326,0,191,0,79,12,18,0,0,0,0,0,0,0,0
"BER0403ZEBR2","Equidae","Equus","Bergzebra",0,2089,0,117,330,2668,0,0,1590,0,127,0,33,11,10,0,0,0,0,0,0,0,0
"BER0403ZEBR3","Equidae","Equus","Bergzebra",0,1539,0,155,781,2591,0,0,860,0,263,0,20,11,0,0,0,0,0,0,0,0,0
"BER0403ZEBR4","Equidae","Equus","Bergzebra",0,1551,0,169,769,1927,0,0,1356,72,57,0,57,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR5","Equidae","Equus","Bergzebra",0,2474,0,402,429,3727,0,21,2442,129,378,0,203,15,0,0,0,0,0,0,0,0,0
"BER0403ZEBR6","Equidae","Equus","Bergzebra",0,778,0,115,45,388,0,0,982,20,49,0,118,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR7","Equidae","Equus","Bergzebra",0,4787,0,220,1088,6124,0,10,4167,94,281,0,150,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR8","Equidae","Equus","Bergzebra",0,6588,0,1228,303,7868,188,49,2209,310,652,0,196,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR1","Equidae","Equus","Bergzebra",0,2695,0,478,65,10389,0,0,4928,312,829,0,17,28,0,0,0,0,0,0,0,0,0
"BER0503ZEBR2","Equidae","Equus","Bergzebra",176,2782,0,1187,63,12533,70,0,2550,29,1196,0,0,22,0,0,0,0,0,0,0,0,0
"BER0503ZEBR3","Equidae","Equus","Bergzebra",0,1720,0,597,0,6338,30,0,2084,70,1537,0,25,35,0,24,0,0,0,0,0,0,0
