"index","Familie","Gattung","Art","digestion","Diet","Habitats","Habitat1","Habitat2","Region","D_4__Acidaminococcaceae","D_4__Akkermansiaceae","D_4__Anaerolineaceae","D_4__Bacteroidaceae","D_4__Christensenellaceae","D_4__Clostridiaceae","D_4__Clostridiales_Family_XIII","D_4__Defluviitaleaceae","D_4__Desulfobulbaceae","D_4__Eggerthellaceae","D_4__Erysipelotrichaceae","D_4__Eubacteriaceae","D_4__F082","D_4__Fibrobacteraceae","D_4__Lachnospiraceae","D_4__Lactobacillaceae","D_4__Methanobacteriaceae","D_4__Methanocorpusculaceae","D_4__Prevotellaceae","D_4__Rikenellaceae","D_4__Ruminococcaceae","D_4__Saccharimonadaceae","D_4__Spirochaetaceae","D_4__Synergistaceae","D_4__T34","D_4__Veillonellaceae","D_4__Carnobacteriaceae","D_4__Enterobacteriaceae","D_4__Enterococcaceae","D_4__Micrococcaceae","D_4__Moraxellaceae","D_4__Peptostreptococcaceae","D_4__Planococcaceae","D_4__Pseudomonadaceae","D_4__Sphingobacteriaceae","D_4__Staphylococcaceae","D_4__Streptococcaceae","D_4__Bifidobacteriaceae","D_4__Burkholderiaceae","D_4__Fusobacteriaceae","D_4__Peptococcaceae","D_4__Tannerellaceae","D_4__Campylobacteraceae","D_4__Methanomethylophilaceae","D_4__Mycoplasmataceae","D_4__Paludibacteraceae","D_4__Pedosphaeraceae","D_4__Pirellulaceae","D_4__Dysgonomonadaceae","D_4__Desulfovibrionaceae","D_4__Clostridiales_vadinBB60_group","D_4__Syntrophomonadaceae","D_4__Aerococcaceae","D_4__Bacillales_Family_XI","D_4__Helicobacteraceae","D_4__Weeksellaceae","D_4__Marinifilaceae","D_4__Coriobacteriaceae","D_4__Muribaculaceae","D_4__Bacillaceae","D_4__Burkholderiales_bacterium_Beta_02","D_4__Elusimicrobiaceae","D_4__Endomicrobiaceae","D_4__Aeromonadaceae","D_4__Flavobacteriaceae","D_4__Wohlfahrtiimonadaceae","D_4__Neisseriaceae","D_4__Pasteurellaceae","D_4__Clostridiales_Family_XI","D_4__Succinivibrionaceae","D_4__Paenibacillaceae","D_4__Hymenobacteraceae","D_4__Barnesiellaceae","D_4__Atopobiaceae","D_4__Puniceicoccaceae","D_4__Corynebacteriaceae","D_4__Leuconostocaceae","D_4__Sanguibacteraceae","D_4__Bacillales_Family_XII","D_4__Bacteriovoracaceae","D_4__Bdellovibrionaceae","D_4__Caulobacteraceae","D_4__Chthoniobacteraceae","D_4__Crocinitomicaceae","D_4__Devosiaceae","D_4__Dietziaceae","D_4__Diplorickettsiaceae","D_4__Herpetosiphonaceae","D_4__Intrasporangiaceae","D_4__Listeriaceae","D_4__Nocardiaceae","D_4__Nocardioidaceae","D_4__Rhizobiaceae","D_4__Rhodobacteraceae","D_4__Rubritaleaceae","D_4__Sphingomonadaceae","D_4__Spirosomaceae","D_4__Verrucomicrobiaceae","D_4__Xanthomonadaceae","D_4__Cardiobacteriaceae","D_4__Porphyromonadaceae","D_4__Alteromonadaceae","D_4__Cellvibrionaceae","D_4__Chitinophagaceae","D_4__Anaeroplasmataceae","D_4__Paracaedibacteraceae","D_4__PeH15","D_4__Methanosarcinaceae","D_4__Izimaplasmataceae","D_4__Arcobacteraceae","D_4__Shewanellaceae","D_4__Blastocatellaceae","D_4__Methyloligellaceae","D_4__Microscillaceae","D_4__Nitrososphaeraceae","D_4__Phormidiaceae","D_4__Xanthobacteraceae","D_4__Xiphinematobacteraceae","D_4__Brevibacteriaceae","D_4__Spiroplasmataceae","D_4__Cytophagaceae","D_4__Dermabacteraceae","D_4__Beijerinckiaceae","D_4__TM7_phylum_sp._oral_clone_FR058","D_4__Microbacteriaceae","D_4__Leptospiraceae","D_4__Marinilabiliaceae","D_4__Demequinaceae"
"BE0503ZEBR5","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",0.174160861304623,4.01361621279291,0.300823305889804,2.51741608613046,4.36985433818873,1.56744775174161,2.50158328055731,0.22957568081064,0.158328055731476,0.372070930968968,0.379987333755541,1.02913236225459,1.1162127929069,0.641228625712476,29.6469284357188,0.316656111462951,2.39075364154528,0.949968334388854,3.69696010132996,8.0905636478784,17.1944268524383,0.506649778340722,14.5661811272958,0.58581380620646,1.40120329322356,1.28245725142495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403PAND","Ailuridae","Ailurus","Roter_Panda","simple","herbivor","Forest_Shrubland","Forest","Shrubland","Asia",0,0,0,0,0,5.39122382838623,0,0,0,0,13.159113123103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00740778846648,9.9182056690159,1.09573537733423,0.73049025155615,4.92823704923093,4.79962961057668,42.3684345902567,0.612171407994238,0.236637687123823,0.221204794485313,12.5315088224703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403WALD","Canidae","Speothos","Waldhund","simple","carnivor","Forest_Savanna","Forest","Savanna","South_America",0,0,0,3.60039680224077,0,2.50919064013538,0,0,0,0,3.08105269300344,0,0,0,39.6277061329288,15.393592810877,0,0,0,0,6.96154519460816,0,0,0,0,0,0,7.44587734142499,0,0,0.0875299060512342,10.2760109704149,0,0,0,0,0,0.437649530256171,0.0816945789811519,0.542685417517652,9.89087938378946,0.0641885977709051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR1","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",4.11886402106451,3.29132969719767,0,3.55463607297348,0.244498777506112,0,0.451382358472823,3.15967650930976,0,0,0.300921572315215,0.695881135978936,3.23490690238857,8.55745721271394,9.8927966898627,0,0,0.639458341169833,11.4162121497085,6.92119616324995,13.2593567801392,0,24.9388753056235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48580026330638,0.413767161933421,0.338536768854617,2.55783336467933,0.300921572315215,0.225691179236412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR2","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",2.39426523297491,1.82078853046595,0,3.25448028673835,1.4336917562724,0.21505376344086,0.544802867383513,0.860215053763441,0,0,0.14336917562724,0,4.415770609319,4.73118279569892,15.3118279569892,0.415770609318996,1.18996415770609,0.487455197132616,14.0501792114695,7.77060931899642,16.9318996415771,0,22.7956989247312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473118279569892,0,0.14336917562724,0.458781362007168,0,0.157706093189964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR3","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",2.20257234726688,4.22829581993569,0,3.40836012861736,0,0.385852090032154,1.43086816720257,2.33118971061093,0,0,0,0.594855305466238,3.18327974276527,12.556270096463,13.6816720257235,0,1.84887459807074,0.643086816720257,10.9967845659164,6.52733118971061,17.7974276527331,0,13.8263665594855,0,0,0.659163987138264,0,0,0,0,0,0,0,0,0,0,2.2508038585209,0,0,0,0.321543408360129,0,0.321543408360129,0,0,0.627009646302251,0,0.176848874598071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR4","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",2.2826451829473,0.956696878147029,0,9.53340046995636,0.285330647868412,0.906344410876133,0,0.58744545149379,0,0,0.40281973816717,0,1.04061765693186,12.9070157771064,18.6639812017456,0,0.788855320577375,2.04766700234978,3.34004699563612,11.9503188989594,8.79489761664988,0,22.7593152064451,1.20845921450151,0,0.419603893924136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956696878147029,0,0,0.167841557569654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR5","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",1.39921722113503,3.6986301369863,0,6.51663405088063,0.900195694716243,0.489236790606654,0.225048923679061,0.225048923679061,0,0,0,0.293542074363992,1.03718199608611,4.19765166340509,18.9823874755382,0,2.01565557729941,1.71232876712329,5.0880626223092,10.9882583170254,13.600782778865,0,23.894324853229,1.26223091976517,0.205479452054795,0.352250489236791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98630136986301,0.205479452054795,0,0.352250489236791,0,0.146771037181996,0.225048923679061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR6","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",0.801603206412826,1.96392785571142,0,8.21643286573146,0,0,0,0,0,0,0,0,4.60921843687375,1.80360721442886,6.01202404809619,0,0,3.687374749499,8.81763527054108,6.77354709418838,8.7374749498998,0,39.3587174348697,0.801603206412826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72945891783567,0.921843687374749,0,2.76553106212425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0403ZEBR7","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",2.51167188700431,1.66065835352521,0,6.16393830151882,0.933750960345133,1.49518349979316,0.0768276106613084,1.27652030021866,0,0,0.638260150109332,0.118196324094321,1.26470066780923,6.42988003073104,14.3253944802317,0.508244193605579,0.135925772708469,0.916021511730985,6.7076413923527,12.4283434785178,11.3704863778736,0,24.6262041250517,0.555522723243307,0,0.336859523668814,0,0,0,0,0,0.195023934755629,0,0,0,0,2.40529519531943,0,0,0,0,0,0.886472430707405,0.248212280598073,0,1.54246202943088,0,0,0.183204302346197,0.0590981620471603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
