index;D_4__Methanobacteriaceae;D_4__Methanocorpusculaceae;D_4__Methanosarcinaceae;D_4__Methanomethylophilaceae;D_4__Nitrososphaeraceae;D_4__Blastocatellaceae;D_4__Actinomycetaceae;D_4__Bifidobacteriaceae;D_4__Corynebacteriaceae;D_4__Dietziaceae;D_4__Nocardiaceae;D_4__Geodermatophilaceae;D_4__Brevibacteriaceae;D_4__Demequinaceae;D_4__Dermabacteraceae;D_4__Intrasporangiaceae;D_4__Microbacteriaceae;D_4__Micrococcaceae;D_4__Sanguibacteraceae;D_4__Nocardioidaceae;D_4__Atopobiaceae;D_4__Coriobacteriaceae;D_4__Eggerthellaceae;D_4__Bacteroidaceae;D_4__Barnesiellaceae;D_4__CAP-aah99b04;D_4__COB_P4-1_termite_group;D_4__Dysgonomonadaceae;D_4__F082;D_4__M2PB4-65_termite_group;D_4__Marinifilaceae;D_4__Marinilabiliaceae;D_4__Muribaculaceae;D_4__Paludibacteraceae;D_4__PeH15;D_4__Porphyromonadaceae;D_4__Prevotellaceae;D_4__Rikenellaceae;D_4__Tannerellaceae;D_4__gir-aah93h0;D_4__p-251-o5;D_4__p-2534-18B5_gut_group;D_4__Chitinophagaceae;D_4__Saprospiraceae;D_4__Cyclobacteriaceae;D_4__Cytophagaceae;D_4__Hymenobacteraceae;D_4__Microscillaceae;D_4__Spirosomaceae;D_4__Crocinitomicaceae;D_4__Flavobacteriaceae;D_4__NS9_marine_group;D_4__Weeksellaceae;D_4__Sphingobacteriaceae;D_4__Anaerolineaceae;D_4__Herpetosiphonaceae;D_4__JG30-KF-CM45;D_4__Candidatus_Melainabacteria_bacterium_MEL.A1;D_4__Clostridium_sp._CAG:306;D_4__Phormidiaceae;D_4__Deferribacteraceae;D_4__Elusimicrobiaceae;D_4__Endomicrobiaceae;D_4__Arcobacteraceae;D_4__Campylobacteraceae;D_4__Helicobacteraceae;D_4__Fibrobacteraceae;D_4__Bacillaceae;D_4__Bacillales_Family_XI;D_4__Bacillales_Family_XII;D_4__Listeriaceae;D_4__Paenibacillaceae;D_4__Planococcaceae;D_4__Staphylococcaceae;D_4__Aerococcaceae;D_4__Carnobacteriaceae;D_4__Enterococcaceae;D_4__Lactobacillaceae;D_4__Leuconostocaceae;D_4__Streptococcaceae;D_4__Christensenellaceae;D_4__Clostridiaceae;D_4__Clostridiales_vadinBB60_group;D_4__Defluviitaleaceae;D_4__Eubacteriaceae;D_4__Clostridiales_Family_XI;D_4__Clostridiales_Family_XIII;D_4__Lachnospiraceae;D_4__Peptococcaceae;D_4__Peptostreptococcaceae;D_4__Ruminococcaceae;D_4__Syntrophomonadaceae;D_4__Erysipelotrichaceae;D_4__Acidaminococcaceae;D_4__Veillonellaceae;D_4__Fusobacteriaceae;D_4__Leptotrichiaceae;D_4__Victivallaceae;D_4__vadinBE97;D_4__Oligosphaeraceae;D_4__Candidatus_Saccharibacteria_bacterium_UB2523;D_4__Saccharimonadaceae;D_4__TM7_phylum_sp._oral_clone_FR058;D_4__Pirellulaceae;D_4__Acetobacteraceae;D_4__Caulobacteraceae;D_4__Paracaedibacteraceae;D_4__Beijerinckiaceae;D_4__Devosiaceae;D_4__Methyloligellaceae;D_4__Rhizobiaceae;D_4__Xanthobacteraceae;D_4__Rhodobacteraceae;D_4__Anaplasmataceae;D_4__Sphingomonadaceae;D_4__Bacteriovoracaceae;D_4__Bdellovibrionaceae;D_4__Desulfobacteraceae;D_4__Desulfobulbaceae;D_4__Desulfovibrionaceae;D_4__0319-6G20;D_4__Oligoflexaceae;D_4__Aeromonadaceae;D_4__Succinivibrionaceae;D_4__Alteromonadaceae;D_4__Shewanellaceae;D_4__Aquaspirillaceae;D_4__Burkholderiaceae;D_4__Methylophilaceae;D_4__Neisseriaceae;D_4__Nitrosomonadaceae;D_4__Rhodocyclaceae;D_4__T34;D_4__Cardiobacteriaceae;D_4__Wohlfahrtiimonadaceae;D_4__Cellvibrionaceae;D_4__Diplorickettsiaceae;D_4__Enterobacteriaceae;D_4__Pasteurellaceae;D_4__Moraxellaceae;D_4__Pseudomonadaceae;D_4__Rhodanobacteraceae;D_4__Xanthomonadaceae;D_4__Leptospiraceae;D_4__Spirochaetaceae;D_4__Synergistaceae;D_4__Acholeplasmataceae;D_4__Anaeroplasmataceae;D_4__Spiroplasmataceae;D_4__Izimaplasmataceae;D_4__Mycoplasmataceae;D_4__Chthoniobacteraceae;D_4__Terrimicrobiaceae;D_4__Xiphinematobacteraceae;D_4__Methylacidiphilaceae;D_4__Puniceicoccaceae;D_4__Pedosphaeraceae;D_4__Akkermansiaceae;D_4__Rubritaleaceae;D_4__Verrucomicrobiaceae;D_4__Burkholderiales_bacterium_Beta_02;D_4__Hypotrichomonadea;D_4__Trichomonadea;D_8__Mucoraceae;unclassified
BE0503ZEBR5;302;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;318;0;0;0;0;141;0;0;0;0;0;0;0;467;1022;0;0;429;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;40;0;0;552;198;0;29;130;0;316;3745;0;0;2172;0;48;22;162;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;177;0;0;0;0;0;0;0;0;0;0;0;1840;74;0;0;0;0;0;0;0;0;0;0;0;507;0;0;0;0;0;0;257
BER0403PAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8236;43;0;779;213;0;0;2436;0;1048;0;0;0;0;0;0;0;933;0;0;2558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1928;0;958;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BER0403WALD;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2638;0;0;0;430;0;0;0;0;0;6791;1695;1761;1193;0;528;0;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;1276;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BER0403ZEBR1;0;34;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189;0;0;0;0;172;0;0;0;0;136;0;0;607;368;0;0;416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;455;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;168;37;0;24;526;0;0;705;0;16;219;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1326;0;0;0;0;0;18;0;0;0;0;0;16;175;0;0;0;0;0;0;407
BER0403ZEBR2;83;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;227;0;0;0;0;308;0;0;0;0;32;0;0;980;542;0;0;958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;330;0;0;0;0;0;0;0;0;0;0;29;0;0;100;15;0;60;0;0;38;1068;0;0;1181;0;10;167;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1590;0;0;0;0;0;10;0;0;0;0;0;0;127;0;0;0;0;0;0;346
BER0403ZEBR3;115;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;212;0;0;0;0;198;0;0;0;0;39;0;0;684;406;0;0;416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;781;0;0;0;0;0;0;0;0;0;0;0;0;140;0;24;0;145;37;0;89;851;20;0;1107;0;0;137;41;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;860;0;0;0;0;0;0;0;0;0;0;0;0;263;0;0;0;0;0;0;518
BER0403ZEBR4;47;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;568;0;0;0;0;62;0;0;0;0;10;0;0;199;712;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;769;0;0;0;0;0;0;0;0;0;0;0;0;0;17;54;0;35;0;0;0;1112;0;0;524;0;24;136;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1356;72;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;307
BER0403ZEBR5;206;175;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;666;0;0;0;23;106;0;0;0;0;36;0;0;520;1123;0;0;614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203;0;429;0;0;0;0;0;0;0;0;0;0;0;0;0;92;50;0;23;30;0;23;1940;0;0;1390;0;0;143;36;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;2442;129;0;0;0;0;0;0;0;0;0;0;0;378;0;0;0;0;0;0;849
BER0403ZEBR6;0;92;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;0;25;0;0;115;0;0;0;0;69;0;0;220;169;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;218;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982;20;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;183
BER0403ZEBR7;23;155;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1043;0;38;0;31;214;0;0;0;0;261;0;0;1135;2103;0;0;2165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;1088;0;0;0;0;0;0;0;0;0;0;86;0;407;158;253;0;216;20;0;13;2424;0;33;1924;0;108;425;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4167;94;0;0;0;0;0;0;0;0;0;0;0;281;0;0;0;0;0;0;763
