ID;Run;Zoo;Art;Gattung;Familie
DUI0406EISF1;1;DUI;Eisfuchs;Vulpes;Canidae
DUI0406EISF2;1;DUI;Eisfuchs;Vulpes;Canidae
DUI1106EISF3;1;DUI;Eisfuchs;Vulpes;Canidae
DUI1106EISF4;1;DUI;Eisfuchs;Vulpes;Canidae
OPE1807EISF1;1;OPE;Eisfuchs;Vulpes;Canidae
OPE1807EISF2;1;OPE;Eisfuchs;Vulpes;Canidae
OPE1807EISF3;1;OPE;Eisfuchs;Vulpes;Canidae
OPE1807EISF4;1;OPE;Eisfuchs;Vulpes;Canidae
OPE1807EISF5;1;OPE;Eisfuchs;Vulpes;Canidae
OPE1807EISF6;1;OPE;Eisfuchs;Vulpes;Canidae
OPE2507EISF10;1;OPE;Eisfuchs;Vulpes;Canidae
OPE2507EISF11;1;OPE;Eisfuchs;Vulpes;Canidae
OPE2507EISF12;1;OPE;Eisfuchs;Vulpes;Canidae
OPE2507EISF7;1;OPE;Eisfuchs;Vulpes;Canidae
OPE2507EISF8;1;OPE;Eisfuchs;Vulpes;Canidae
OPE2507EISF9;1;OPE;Eisfuchs;Vulpes;Canidae
BER0805LOEF1;1;BER;Loeffelhund;Otocyon;Canidae
BER0805LOEF2;1;BER;Loeffelhund;Otocyon;Canidae
BER1505LOEF3;1;BER;Loeffelhund;Otocyon;Canidae
DOR0606LOEF1;1;DOR;Loeffelhund;Otocyon;Canidae
DOR0606LOEF2;1;DOR;Loeffelhund;Otocyon;Canidae
DOR1306LOEF3;1;DOR;Loeffelhund;Otocyon;Canidae
DOR1306LOEF4;1;DOR;Loeffelhund;Otocyon;Canidae
DOR1306LOEF5;1;DOR;Loeffelhund;Otocyon;Canidae
KRE0706LOEF1;1;KRE;Loeffelhund;Otocyon;Canidae
KRE0706LOEF2;1;KRE;Loeffelhund;Otocyon;Canidae
KRE0706LOEF3;1;KRE;Loeffelhund;Otocyon;Canidae
KRE1406LOEF4;1;KRE;Loeffelhund;Otocyon;Canidae
OPE1807LOEF1;1;OPE;Loeffelhund;Otocyon;Canidae
OPE1807LOEF2;1;OPE;Loeffelhund;Otocyon;Canidae
OPE1807LOEF3;1;OPE;Loeffelhund;Otocyon;Canidae
OPE2507LOEF4;1;OPE;Loeffelhund;Otocyon;Canidae
OPE2507LOEF5;1;OPE;Loeffelhund;Otocyon;Canidae
OPE2507LOEF6;1;OPE;Loeffelhund;Otocyon;Canidae
BER0805PAND1;1;BER;Roter_Panda;Ailurus;Ailuridae
BER0805PAND2;1;BER;Roter_Panda;Ailurus;Ailuridae
BER1505PAND3;1;BER;Roter_Panda;Ailurus;Ailuridae
BER1505PAND4;1;BER;Roter_Panda;Ailurus;Ailuridae
DOR0606PAND1;1;DOR;Roter_Panda;Ailurus;Ailuridae
DOR0606PAND2;1;DOR;Roter_Panda;Ailurus;Ailuridae
DOR1306PAND3;1;DOR;Roter_Panda;Ailurus;Ailuridae
DOR1306PAND4;1;DOR;Roter_Panda;Ailurus;Ailuridae
DUI0406PAND1;1;DUI;Roter_Panda;Ailurus;Ailuridae
DUI0406PAND2;1;DUI;Roter_Panda;Ailurus;Ailuridae
DUI1106PAND3;1;DUI;Roter_Panda;Ailurus;Ailuridae
